Rank,#,Title,Topics,"Rank, ",Difficulty,Time & Space,Status,Next,,,,
344,69,Sqrt(x),,,Easy,,,,,,,
345,252,Meeting Rooms,,,Easy,,,,,,,
346,1481,Least Number of Unique Integers after K Removals,,,Medium,,,,,,,
347,617,Merge Two Binary Trees,,,Easy,,,,,,,
348,249,Group Shifted Strings,"Hash Table, String, ","FB40, ",Medium,,,,,,,
349,799,Champagne Tower,,,Medium,,,,,,,
350,316,Remove Duplicate Letters,"String, Stack, Greedy, ","AMZ87, ",Medium,,,,,,,
351,1578,Minimum Deletion Cost to Avoid Repeating Letters,"Greedy, ","MIC07, ",Medium,,,,,,,
352,969,Pancake Sorting,,,Medium,,,,,,,
353,665,Non-decreasing Array,,,Easy,,,,,,,
354,319,Bulb Switcher,,,Medium,,,,,,,
355,116,Populating Next Right Pointers in Each Node,"Tree, ","MIC37, ",Medium,,,,,,,
356,457,Circular Array Loop,"Array, Two Pointers, ","APP23, ",Medium,,,,,,,
357,1395,Count Number of Teams,,,Medium,,,,,,,
358,338,Counting Bits,"Dynamic Programming, Bit Manipulation, ","APP92, ",Medium,,,,,,,
359,1166,Design File System,,,Medium,,,,,,,
360,290,Word Pattern,,,Easy,,,,,,,
361,1219,Path with Maximum Gold,"Backtracking, ","G51, ",Medium,,,,,,,
362,856,Score of Parentheses,,,Medium,,,,,,,
363,678,Valid Parenthesis String,,,Medium,,,,,,,
364,1223,Dice Roll Simulation,"Dynamic Programming, ","G48, ",Medium,,,,,,,
365,662,Maximum Width of Binary Tree,"Tree, ","MIC107, ",Medium,,,,,,,
366,323,Number of Connected Components in an Undirected Graph,,"G81, AMZ34, ",Medium,,,,,,,
367,686,Repeated String Match,,,Medium,,,,,,,
368,616,Add Bold Tag in String,"String, ","FB58, ",Medium,,,,,,,
369,28,Implement strStr(),,,Easy,,,,,,,
370,1424,Diagonal Traverse II,"Array, Sort, ","FB90, ",Medium,,,,,,,
371,845,Longest Mountain in Array,"Two Pointers, ","MIC74, ",Medium,,,,,,,
372,792,Number of Matching Subsequences,"Array, ","G26, ",Medium,,,,,,,
373,557,Reverse Words in a String III,,,Easy,,,,,,,
374,779,K-th Symbol in Grammar,,,Medium,,,,,,,
375,26,Remove Duplicates from Sorted Array,,,Easy,,,,,,,
376,650,2 Keys Keyboard,,,Medium,,,,,,,
377,901,Online Stock Span,"Stack, ","AMZ49, ",Medium,,,,,,,
378,257,Binary Tree Paths,,,Easy,,,,,,,
379,244,Shortest Word Distance II,,,Medium,,,,,,,
380,1008,Construct Binary Search Tree from Preorder Traversal,,,Medium,,,,,,,
381,350,Intersection of Two Arrays II,,,Easy,,,,,,,
382,777,Swap Adjacent in LR String,"Brainteaser, ","G30, ",Medium,,,,,,,
383,47,Permutations II,"Backtracking, ","APP109, ",Medium,,,,,,,
384,687,Longest Univalue Path,,,Medium,,,,,,,
385,109,Convert Sorted List to Binary Search Tree,,,Medium,,,,,,,
386,1405,Longest Happy String,,,Medium,,,,,,,
387,1189,Maximum Number of Balloons,,,Easy,,,,,,,
388,1375,Bulb Switcher III,,,Medium,,,,,,,
389,1296,Divide Array in Sets of K Consecutive Numbers,"Array, Greedy, ","G27, ",Medium,,,,,,,
390,333,Largest BST Subtree,"Tree, ","FB71, ",Medium,,,,,,,
391,351,Android Unlock Patterns,"Dynamic Programming, Backtracking, ","G49, MIC08, ",Medium,,,,,,,
392,697,Degree of an Array,,,Easy,,,,,,,
393,113,Path Sum II,"Tree, ","MIC76, APP106, ",Medium,,,,,,,
394,876,Middle of the Linked List,,,Easy,,,,,,,
395,1347,Minimum Number of Steps to Make Two Strings Anagram,"String, ","MIC105, ",Medium,,,,,,,
396,1507,Reformat Date,,,Easy,,,,,,,
397,171,Excel Sheet Column Number,"Math, ","MIC95, ",Easy,,,,,,,
398,94,Binary Tree Inorder Traversal,,,Medium,,,,,,,
399,1094,Car Pooling,"Greedy, ","MIC71, ",Medium,,,,,,,
400,652,Find Duplicate Subtrees,"Tree, ","G41, AMZ88, ",Medium,,,,,,,
401,258,Add Digits,,,Easy,,,,,,,
402,933,Number of Recent Calls,,,Easy,,,,,,,
403,1465,Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,,,Medium,,,,,,,
404,1366,Rank Teams by Votes,,,Medium,,,,,,,
405,24,Swap Nodes in Pairs,,,Medium,,,,,,,
406,1026,Maximum Difference Between Node and Ancestor,"Tree, ","FB48, ",Medium,,,,,,,
407,270,Closest Binary Search Tree Value,"Binary Search, Tree, ","FB33, MIC129, ",Easy,,,,,,,
408,1169,Invalid Transactions,,,Medium,,,,,,,
409,181,Employees Earning More Than Their Managers,,,Easy,,,,,,,
410,742,Closest Leaf in a Binary Tree,,,Medium,,,,,,,
411,536,Construct Binary Tree from String,"String, Tree, ","FB56, ",Medium,,,,,,,
412,201,Bitwise AND of Numbers Range,,,Medium,,,,,,,
413,222,Count Complete Tree Nodes,"Binary Search, Tree, ","G68, ",Medium,,,,,,,
414,912,Sort an Array,,"APP87, ",Medium,,,,,,,
415,918,Maximum Sum Circular Subarray,,,Medium,,,,,,,
416,1019,Next Greater Node In Linked List,,,Medium,,,,,,,
417,373,Find K Pairs with Smallest Sums,,,Medium,,,,,,,
418,490,The Maze,,,Medium,,,,,,,
419,892,Surface Area of 3D Shapes,,,Easy,,,,,,,
420,939,Minimum Area Rectangle,,,Medium,,,,,,,
421,413,Arithmetic Slices,,,Medium,,,,,,,
422,451,Sort Characters By Frequency,,,Medium,,,,,,,
423,383,Ransom Note,,,Easy,,,,,,,
424,794,Valid Tic-Tac-Toe State,,,Medium,,,,,,,
425,870,Advantage Shuffle,,,Medium,,,,,,,
426,482,License Key Formatting,,,Easy,,,,,,,
427,1200,Minimum Absolute Difference,,,Easy,,,,,,,
428,1131,Maximum of Absolute Value Expression,,,Medium,,,,,,,
429,376,Wiggle Subsequence,"Dynamic Programming, Greedy, ","MIC72, ",Medium,,,,,,,
430,178,Rank Scores,,"APP86, ",Medium,,,,,,,
431,1202,Smallest String With Swaps,,,Medium,,,,,,,
432,1167,Minimum Cost to Connect Sticks,"Greedy, ","AMZ36, ",Medium,,,,,,,
433,228,Summary Ranges,,,Easy,,,,,,,
434,1268,Search Suggestions System,"String, ","AMZ57, ",Medium,,,,,,,
435,436,Find Right Interval,,,Medium,,,,,,,
436,796,Rotate String,,"MIC110, ",Easy,,,,,,,
437,889,Construct Binary Tree from Preorder and Postorder Traversal,,,Medium,,,,,,,
438,40,Combination Sum II,,,Medium,,,,,,,
439,1429,First Unique Number,"Hash Table, Design, ","AMZ44, MIC58, ",Medium,,,,,,,
440,299,Bulls and Cows,"Hash Table, ","G39, ",Medium,,,,,,,
441,1574,Shortest Subarray to be Removed to Make Array Sorted,,,Medium,,,,,,,
442,189,Rotate Array,,,Medium,,,,,,,
443,129,Sum Root to Leaf Numbers,"Tree, ","FB80, ",Medium,,,,,,,
444,1583,Count Unhappy Friends,,,Medium,,,,,,,
445,191,Number of 1 Bits,,,Easy,,,,,,,
446,456,132 Pattern,,,Medium,,,,,,,
447,284,Peeking Iterator,"Design, ","APP02, ",Medium,,,,,,,
448,959,Regions Cut By Slashes,,,Medium,,,,,,,
449,63,Unique Paths II,,,Medium,,,,,,,
450,1191,K-Concatenation Maximum Sum,,,Medium,,,,,,,
451,172,Factorial Trailing Zeroes,,,Easy,,,,,,,
452,1498,Number of Subsequences That Satisfy the Given Sum Condition,"Sort, Sliding Window, ","FB50, ",Medium,,,,,,,
453,1310,XOR Queries of a Subarray,,,Medium,,,,,,,
454,949,Largest Time for Given Digits,"Math, ","G52, ",Medium,,,,,,,
455,1114,Print in Order,,,Easy,,,,,,,
456,1162,As Far from Land as Possible,,,Medium,,,,,,,
457,259,3Sum Smaller,,,Medium,,,,,,,
458,1334,Find the City With the Smallest Number of Neighbors at a Threshold Distance,,,Medium,,,,,,,
459,1236,Web Crawler,,,Medium,,,,,,,
460,343,Integer Break,,,Medium,,,,,,,
461,840,Magic Squares In Grid,"Array, ","G46, ",Medium,,,,,,,
462,213,House Robber II,,,Medium,,,,,,,
463,452,Minimum Number of Arrows to Burst Balloons,,,Medium,,,,,,,
464,849,Maximize Distance to Closest Person,"Array, ","MIC44, ",Medium,,,,,,,
465,886,Possible Bipartition,,,Medium,,,,,,,
466,611,Valid Triangle Number,,,Medium,,,,,,,
467,345,Reverse Vowels of a String,,,Easy,,,,,,,
468,1292,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,"Array, Binary Search, ","G60, ",Medium,,,,,,,
469,1110,Delete Nodes And Return Forest,"Tree, ","G17, ",Medium,,,,,,,
470,681,Next Closest Time,"String, ","AMZ53, ",Medium,,,,,,,
471,1504,Count Submatrices With All Ones,"Dynamic Programming, ","G21, ",Medium,,,,,,,
472,328,Odd Even Linked List,,,Medium,,,,,,,
473,310,Minimum Height Trees,,,Medium,,,,,,,
474,260,Single Number III,,,Medium,,,,,,,
475,838,Push Dominoes,,,Medium,,,,,,,
476,1352,Product of the Last K Numbers,"Array, Design, ","APP33, ",Medium,,,,,,,
477,450,Delete Node in a BST,,,Medium,,,,,,,
478,846,Hand of Straights,"Ordered Map, ","G6, ",Medium,,,,,,,
479,285,Inorder Successor in BST,"Tree, ","MIC43, ",Medium,,,,,,,
480,1103,Distribute Candies to People,,,Easy,,,,,,,
481,875,Koko Eating Bananas,,,Medium,,,,,,,
482,247,Strobogrammatic Number II,"Math, Recursion, ","FB70, ",Medium,,,,,,,
483,1376,Time Needed to Inform All Employees,,"G11, MIC101, ",Medium,,,,,,,
484,896,Monotonic Array,"Array, ","FB52, ",Easy,,,,,,,
485,104,Maximum Depth of Binary Tree,,,Easy,,,,,,,
486,392,Is Subsequence,,,Easy,,,,,,,
487,769,Max Chunks To Make Sorted,,,Medium,,,,,,,
488,404,Sum of Left Leaves,,,Easy,,,,,,,
489,142,Linked List Cycle II,,,Medium,,,,,,,
490,1477,Find Two Non-overlapping Sub-arrays Each With Target Sum,"Dynamic Programming, ","G12, ",Medium,,,,,,,
491,833,Find And Replace in String,"String, ","G13, ",Medium,,,,,,,
492,1290,Convert Binary Number in a Linked List to Integer,,,Easy,,,,,,,
493,1186,Maximum Subarray Sum with One Deletion,,,Medium,,,,,,,
494,1002,Find Common Characters,,,Easy,,,,,,,
495,1512,Number of Good Pairs,,,Easy,,,,,,,
496,635,Design Log Storage System,,,Medium,,,,,,,
497,303,Range Sum Query - Immutable,,,Easy,,,,,,,
498,881,Boats to Save People,,,Medium,,,,,,,
499,646,Maximum Length of Pair Chain,,,Medium,,,,,,,
500,337,House Robber III,,,Medium,,,,,,,
501,945,Minimum Increment to Make Array Unique,,,Medium,,,,,,,
502,1043,Partition Array for Maximum Sum,,,Medium,,,,,,,
503,159,Longest Substring with At Most Two Distinct Characters,,,Medium,,,,,,,
504,1382,Balance a Binary Search Tree,,,Medium,,,,,,,
505,1529,Bulb Switcher IV,,,Medium,,,,,,,
506,100,Same Tree,,,Easy,,,,,,,
507,395,Longest Substring with At Least K Repeating Characters,,,Medium,,,,,,,
508,775,Global and Local Inversions,,,Medium,,,,,,,
509,1324,Print Words Vertically,,,Medium,,,,,,,
510,707,Design Linked List,"Linked List, Design, ","MIC84, ",Medium,,,,,,,
511,708,Insert into a Sorted Circular Linked List,"Linked List, ","FB30, ",Medium,,,,,,,
512,196,Delete Duplicate Emails,,,Easy,,,,,,,
513,1071,Greatest Common Divisor of Strings,,,Easy,,,,,,,
514,795,Number of Subarrays with Bounded Maximum,,,Medium,,,,,,,
515,280,Wiggle Sort,,,Medium,,,,,,,
516,817,Linked List Components,,,Medium,,,,,,,
517,755,Pour Water,,,Medium,,,,,,,
518,364,Nested List Weight Sum II,,,Medium,,,,,,,
519,950,Reveal Cards In Increasing Order,,,Medium,,,,,,,
520,161,One Edit Distance,,,Medium,,,,,,,
521,1190,Reverse Substrings Between Each Pair of Parentheses,,,Medium,,,,,,,
522,593,Valid Square,,,Medium,,,,,,,
523,743,Network Delay Time,,,Medium,,,,,,,
524,997,Find the Town Judge,,,Easy,,,,,,,
525,1046,Last Stone Weight,,,Easy,,,,,,,
526,95,Unique Binary Search Trees II,,,Medium,,,,,,,
527,250,Count Univalue Subtrees,,,Medium,,,,,,,
528,1266,Minimum Time Visiting All Points,,,Easy,,,,,,,
529,720,Longest Word in Dictionary,,,Easy,,,,,,,
530,1007,Minimum Domino Rotations For Equal Row,,,Medium,,,,,,,
531,1539,Kth Missing Positive Number,"Array, Hash Table, ","FB64, MIC115, ",Easy,,,,,,,
532,993,Cousins in Binary Tree,"Tree, ","MIC122, ",Easy,,,,,,,
533,276,Paint Fence,,,Easy,,,,,,,
534,657,Robot Return to Origin,,,Easy,,,,,,,
535,444,Sequence Reconstruction,"Graph, Topological Sort, ","G18, ",Medium,,,,,,,
536,867,Transpose Matrix,"Array, ","MIC106, APP55, ",Easy,,,,,,,
537,704,Binary Search,,,Easy,,,,,,,
538,874,Walking Robot Simulation,,,Easy,,,,,,,
539,861,Score After Flipping Matrix,,,Medium,,,,,,,
540,1049,Last Stone Weight II,,,Medium,,,,,,,
541,398,Random Pick Index,"Reservoir Sampling, ","FB47, ",Medium,,,,,,,
542,1081,Smallest Subsequence of Distinct Characters,,,Medium,,,,,,,
543,35,Search Insert Position,,,Easy,,,,,,,
544,515,Find Largest Value in Each Tree Row,,,Medium,,,,,,,
545,977,Squares of a Sorted Array,,,Easy,,,,,,,
546,357,Count Numbers with Unique Digits,,,Medium,,,,,,,
547,690,Employee Importance,"Hash Table, ","G7, MIC128, ",Easy,,,,,,,
548,1286,Iterator for Combination,,,Medium,,,,,,,
549,1111,Maximum Nesting Depth of Two Valid Parentheses Strings,,,Medium,,,,,,,
550,510,Inorder Successor in BST II,,,Medium,,,,,,,
551,400,Nth Digit,,,Medium,,,,,,,
552,841,Keys and Rooms,,,Medium,,,,,,,
553,951,Flip Equivalent Binary Trees,"Tree, ","G57, ",Medium,,,,,,,
554,386,Lexicographical Numbers,,,Medium,,,,,,,
555,235,Lowest Common Ancestor of a Binary Search Tree,,,Easy,,,,,,,
556,90,Subsets II,,,Medium,,,,,,,
557,231,Power of Two,"Math, Bit Manipulation, ","APP29, ",Easy,,,,,,,
558,1573,Number of Ways to Split a String,"String, ","MIC13, ",Medium,,,,,,,
559,1333,"Filter Restaurants by Vegan-Friendly, Price and Distance",,,Medium,,,,,,,
560,669,Trim a Binary Search Tree,,,Easy,,,,,,,
561,1151,Minimum Swaps to Group All 1's Together,,,Medium,,,,,,,
562,1052,Grumpy Bookstore Owner,,,Medium,,,,,,,
563,184,Department Highest Salary,,,Medium,,,,,,,
564,1386,Cinema Seat Allocation,,,Medium,,,,,,,
565,230,Kth Smallest Element in a BST,,,Medium,,,,,,,
566,1519,Number of Nodes in the Sub-Tree With the Same Label,,,Medium,,,,,,,
567,117,Populating Next Right Pointers in Each Node II,,,Medium,,,,,,,
568,409,Longest Palindrome,,,Easy,,,,,,,
569,885,Spiral Matrix III,,,Medium,,,,,,,
570,771,Jewels and Stones,"Hash Table, ","APP115, ",Easy,,,,,,,
571,1013,Partition Array Into Three Parts With Equal Sum,,,Easy,,,,,,,
572,766,Toeplitz Matrix,"Array, ","FB79, ",Easy,,,,,,,
573,801,Minimum Swaps To Make Sequences Increasing,,,Medium,,,,,,,
574,1304,Find N Unique Integers Sum up to Zero,"Array, ","MIC63, ",Easy,,,,,,,
575,1431,Kids With the Greatest Number of Candies,,,Easy,,,,,,,
576,261,Graph Valid Tree,,"MIC109, ",Medium,,,,,,,
577,672,Bulb Switcher II,,,Medium,,,,,,,
578,263,Ugly Number,,,Easy,,,,,,,
579,416,Partition Equal Subset Sum,,,Medium,,,,,,,
580,1245,Tree Diameter,,,Medium,,,,,,,
581,598,Range Addition II,,,Easy,,,,,,,
582,59,Spiral Matrix II,"Array, ","MIC81, ",Medium,,,,,,,
583,554,Brick Wall,,,Medium,,,,,,,
584,1135,Connecting Cities With Minimum Cost,,,Medium,,,,,,,
585,905,Sort Array By Parity,"Array, ","APP107, ",Easy,,,,,,,
586,1456,Maximum Number of Vowels in a Substring of Given Length,,,Medium,,,,,,,
587,195,Tenth Line,,,Easy,,,,,,,
588,485,Max Consecutive Ones,,,Easy,,,,,,,
589,1038,Binary Search Tree to Greater Sum Tree,,,Medium,,,,,,,
590,180,Consecutive Numbers,,,Medium,,,,,,,
591,676,Implement Magic Dictionary,,,Medium,,,,,,,
592,894,All Possible Full Binary Trees,,,Medium,,,,,,,
593,673,Number of Longest Increasing Subsequence,,,Medium,,,,,,,
594,414,Third Maximum Number,,,Easy,,,,,,,
595,217,Contains Duplicate,,,Easy,,,,,,,
596,186,Reverse Words in a String II,"String, ","MIC66, ",Medium,,,,,,,
597,1120,Maximum Average Subtree,"Tree, ","AMZ26, ",Medium,,,,,,,
598,922,Sort Array By Parity II,,,Easy,,,,,,,
599,1035,Uncrossed Lines,,,Medium,,,,,,,
600,1331,Rank Transform of an Array,,,Easy,,,,,,,
601,1391,Check if There is a Valid Path in a Grid,,,Medium,,,,,,,
602,507,Perfect Number,,,Easy,,,,,,,
603,852,Peak Index in a Mountain Array,,,Easy,,,,,,,
604,701,Insert into a Binary Search Tree,,,Medium,,,,,,,
605,58,Length of Last Word,,,Easy,,,,,,,
606,1180,Count Substrings with Only One Distinct Letter,,,Easy,,,,,,,
607,1365,How Many Numbers Are Smaller Than the Current Number,,,Easy,,,,,,,
608,89,Gray Code,,,Medium,,,,,,,
609,717,1-bit and 2-bit Characters,,,Easy,,,,,,,
610,1124,Longest Well-Performing Interval,,,Medium,,,,,,,
611,1145,Binary Tree Coloring Game,"Tree, ","G76, ",Medium,,,,,,,
612,606,Construct String from Binary Tree,,,Easy,,,,,,,
613,470,Implement Rand10() Using Rand7(),,,Medium,,,,,,,
614,379,Design Phone Directory,"Linked List, Design, ","G38, ",Medium,,,,,,,
615,1073,Adding Two Negabinary Numbers,,,Medium,,,,,,,
616,1356,Sort Integers by The Number of 1 Bits,,,Easy,,,,,,,
617,754,Reach a Number,,,Medium,,,,,,,
618,1351,Count Negative Numbers in a Sorted Matrix,,,Easy,,,,,,,
619,505,The Maze II,,,Medium,,,,,,,
620,921,Minimum Add to Make Parentheses Valid,"Stack, Greedy, ","FB89, ",Medium,,,,,,,
621,1213,Intersection of Three Sorted Arrays,"Hash Table, Two Pointers, ","FB78, ",Easy,,,,,,,
622,467,Unique Substrings in Wraparound String,,,Medium,,,,,,,
623,1247,Minimum Swaps to Make Strings Equal,,,Medium,,,,,,,
624,274,H-Index,,,Medium,,,,,,,
625,1233,Remove Sub-Folders from the Filesystem,"Array, String, ","FB69, ",Medium,,,,,,,
626,674,Longest Continuous Increasing Subsequence,,,Easy,,,,,,,
627,81,Search in Rotated Sorted Array II,,,Medium,,,,,,,
628,1267,Count Servers that Communicate,,,Medium,,,,,,,
629,366,Find Leaves of Binary Tree,,,Medium,,,,,,,
630,266,Palindrome Permutation,"Hash Table, ","FB67, MIC14, ",Easy,,,,,,,
631,627,Swap Salary,,,Easy,,,,,,,
632,1108,Defanging an IP Address,,,Easy,,,,,,,
633,562,Longest Line of Consecutive One in Matrix,"Array, ","G28, ",Medium,,,,,,,
634,1482,Minimum Number of Days to Make m Bouquets,,,Medium,,,,,,,
635,1358,Number of Substrings Containing All Three Characters,,,Medium,,,,,,,
636,764,Largest Plus Sign,,,Medium,,,,,,,
637,119,Pascal's Triangle II,,,Easy,,,,,,,
638,1179,Reformat Department Table,,,Easy,,,,,,,
639,377,Combination Sum IV,,,Medium,,,,,,,
640,1509,Minimum Difference Between Largest and Smallest Value in Three Moves,,,Medium,,,,,,,
641,873,Length of Longest Fibonacci Subsequence,,,Medium,,,,,,,
642,237,Delete Node in a Linked List,,,Easy,,,,,,,
643,1315,Sum of Nodes with Even-Valued Grandparent,"Tree, ","AMZ77, ",Medium,,,,,,,
644,640,Solve the Equation,,,Medium,,,,,,,
645,1514,Path with Maximum Probability,"Graph, ","G86, ",Medium,,,,,,,
646,486,Predict the Winner,,,Medium,,,,,,,
647,931,Minimum Falling Path Sum,,,Medium,,,,,,,
648,524,Longest Word in Dictionary through Deleting,,,Medium,,,,,,,
649,1270,All People Report to the Given Manager,,,Medium,,,,,,,
650,837,New 21 Game,,,Medium,,,,,,,
651,77,Combinations,"Backtracking, ","APP98, ",Medium,,,,,,,
652,225,Implement Stack using Queues,,,Easy,,,,,,,
653,267,Palindrome Permutation II,"Backtracking, ","MIC33, ",Medium,,,,,,,
654,1248,Count Number of Nice Subarrays,,,Medium,,,,,,,
655,1302,Deepest Leaves Sum,,,Medium,,,,,,,
656,385,Mini Parser,,,Medium,,,,,,,
657,147,Insertion Sort List,,,Medium,,,,,,,
658,714,Best Time to Buy and Sell Stock with Transaction Fee,,,Medium,,,,,,,
659,163,Missing Ranges,,,Easy,,,,,,,
660,684,Redundant Connection,,,Medium,,,,,,,
661,1370,Increasing Decreasing String,,,Easy,,,,,,,
662,1105,Filling Bookcase Shelves,,,Medium,,,,,,,
663,1059,All Paths from Source Lead to Destination,,,Medium,,,,,,,
664,825,Friends Of Appropriate Ages,"Array, ","FB46, ",Medium,,,,,,,
665,441,Arranging Coins,,,Easy,,,,,,,
666,462,Minimum Moves to Equal Array Elements II,,,Medium,,,,,,,
667,855,Exam Room,,,Medium,,,,,,,
668,919,Complete Binary Tree Inserter,"Tree, ","MIC39, ",Medium,,,,,,,
669,1631,Path With Minimum Effort,"Binary Search, ","G15, ",Medium,,,,,,,
670,626,Exchange Seats,,,Medium,,,,,,,
671,423,Reconstruct Original Digits from English,,,Medium,,,,,,,
672,807,Max Increase to Keep City Skyline,,,Medium,,,,,,,
673,1371,Find the Longest Substring Containing Vowels in Even Counts,,,Medium,,,,,,,
674,541,Reverse String II,,,Easy,,,,,,,
675,705,Design HashSet,,,Easy,,,,,,,
676,1138,Alphabet Board Path,"Hash Table, String, ","G14, ",Medium,,,,,,,
677,1160,Find Words That Can Be Formed by Characters,,,Easy,,,,,,,
678,1466,Reorder Routes to Make All Paths Lead to the City Zero,"Tree, ","MIC27, ",Medium,,,,,,,
679,883,Projection Area of 3D Shapes,,,Easy,,,,,,,
680,776,Split BST,,,Medium,,,,,,,
681,292,Nim Game,,,Easy,,,,,,,
682,433,Minimum Genetic Mutation,,,Medium,,,,,,,
683,246,Strobogrammatic Number,"Hash Table, Math, ","FB82, ",Easy,,,,,,,
684,220,Contains Duplicate III,,,Medium,,,,,,,
685,1258,Synonymous Sentences,"Backtracking, ","AMZ71, ",Medium,,,,,,,
686,1400,Construct K Palindrome Strings,,,Medium,,,,,,,
687,325,Maximum Size Subarray Sum Equals k,"Hash Table, ","MIC77, ",Medium,,,,,,,
688,1297,Maximum Number of Occurrences of a Substring,,,Medium,,,,,,,
689,900,RLE Iterator,"Array, ","G24, ",Medium,,,,,,,
690,842,Split Array into Fibonacci Sequence,,,Medium,,,,,,,
691,255,Verify Preorder Sequence in Binary Search Tree,,,Medium,,,,,,,
692,251,Flatten 2D Vector,,,Medium,,,,,,,
693,791,Custom Sort String,,,Medium,,,,,,,
694,858,Mirror Reflection,"Math, ","FB76, ",Medium,,,,,,,
695,307,Range Sum Query - Mutable,,,Medium,,,,,,,
696,1234,Replace the Substring for Balanced String,,,Medium,,,,,,,
697,223,Rectangle Area,,,Medium,,,,,,,
698,145,Binary Tree Postorder Traversal,,,Medium,,,,,,,
699,1517,Find Users With Valid E-Mails,,,Easy,,,,,,,
700,1342,Number of Steps to Reduce a Number to Zero,,,Easy,,,,,,,
701,1156,Swap For Longest Repeated Character Substring,,,Medium,,,,,,,
702,1022,Sum of Root To Leaf Binary Numbers,,,Easy,,,,,,,
703,1360,Number of Days Between Two Dates,,,Easy,,,,,,,
704,1161,Maximum Level Sum of a Binary Tree,,,Medium,,,,,,,
705,814,Binary Tree Pruning,,,Medium,,,,,,,
706,389,Find the Difference,,,Easy,,,,,,,
707,904,Fruit Into Baskets,,,Medium,,,,,,,
708,475,Heaters,,,Medium,,,,,,,
709,561,Array Partition I,,,Easy,,,,,,,
710,653,Two Sum IV - Input is a BST,,,Easy,,,,,,,
711,1256,Encode Number,,,Medium,,,,,,,
712,481,Magical String,,,Medium,,,,,,,
713,784,Letter Case Permutation,,,Medium,,,,,,,
714,1534,Count Good Triplets,,,Easy,,,,,,,
715,1590,Make Sum Divisible by P,,,Medium,,,,,,,
716,1288,Remove Covered Intervals,,,Medium,,,,,,,
717,1522,Diameter of N-Ary Tree,,,Medium,,,,,,,
718,1313,Decompress Run-Length Encoded List,,,Easy,,,,,,,
719,1615,Maximal Network Rank,"Graph, ","MIC49, ",Medium,,,,,,,
720,1221,Split a String in Balanced Strings,,,Easy,,,,,,,
721,110,Balanced Binary Tree,,,Easy,,,,,,,
722,1017,Convert to Base -2,,,Medium,,,,,,,
723,1034,Coloring A Border,,,Medium,,,,,,,
724,911,Online Election,"Binary Search, ","G32, ",Medium,,,,,,,
725,1448,Count Good Nodes in Binary Tree,"Tree, ","MIC85, ",Medium,,,,,,,
726,334,Increasing Triplet Subsequence,,,Medium,,,,,,,
727,1502,Can Make Arithmetic Progression From Sequence,,,Easy,,,,,,,
728,1137,N-th Tribonacci Number,,,Easy,,,,,,,
729,401,Binary Watch,,,Easy,,,,,,,
730,654,Maximum Binary Tree,,,Medium,,,,,,,
731,397,Integer Replacement,"Math, Bit Manipulation, ","G50, ",Medium,,,,,,,
732,1338,Reduce Array Size to The Half,,,Medium,,,,,,,
733,731,My Calendar II,,,Medium,,,,,,,
734,1228,Missing Number In Arithmetic Progression,,,Easy,,,,,,,
735,1647,Minimum Deletions to Make Character Frequencies Unique,"Greedy, Sort, ","MIC35, ",Medium,,,,,,,
736,1021,Remove Outermost Parentheses,,,Easy,,,,,,,
737,917,Reverse Only Letters,"String, ","APP18, ",Easy,,,,,,,
738,1252,Cells with Odd Values in a Matrix,,,Easy,,,,,,,
739,464,Can I Win,,,Medium,,,,,,,
740,594,Longest Harmonious Subsequence,,,Easy,,,,,,,
741,111,Minimum Depth of Binary Tree,,,Easy,,,,,,,
742,1485,Clone Binary Tree With Random Pointer,,,Medium,,,,,,,
743,1299,Replace Elements with Greatest Element on Right Side,,,Easy,,,,,,,
744,740,Delete and Earn,,,Medium,,,,,,,
745,1014,Best Sightseeing Pair,,,Medium,,,,,,,
746,551,Student Attendance Record I,,,Easy,,,,,,,
747,1117,Building H2O,,,Medium,,,,,,,
748,1171,Remove Zero Sum Consecutive Nodes from Linked List,,,Medium,,,,,,,
749,1403,Minimum Subsequence in Non-Increasing Order,,,Easy,,,,,,,
750,1102,Path With Maximum Minimum Value,,"G78, ",Medium,,,,,,,
751,1024,Video Stitching,,,Medium,,,,,,,
752,1115,Print FooBar Alternately,,,Medium,,,,,,,
753,306,Additive Number,"Backtracking, ","G80, ",Medium,,,,,,,
754,637,Average of Levels in Binary Tree,,,Easy,,,,,,,
755,298,Binary Tree Longest Consecutive Sequence,"Tree, ","G54, ",Medium,,,,,,,
756,890,Find and Replace Pattern,,,Medium,,,,,,,
757,848,Shifting Letters,,,Medium,,,,,,,
758,1399,Count Largest Group,,,Easy,,,,,,,
759,671,Second Minimum Node In a Binary Tree,"Tree, ","MIC99, ",Easy,,,,,,,
760,1066,Campus Bikes II,"Dynamic Programming, Backtracking, ","G61, ",Medium,,,,,,,
761,1104,Path In Zigzag Labelled Binary Tree,,,Medium,,,,,,,
762,824,Goat Latin,,,Easy,,,,,,,
763,1558,Minimum Numbers of Function Calls to Make Target Array,,,Medium,,,,,,,
764,958,Check Completeness of a Binary Tree,,,Medium,,,,,,,
765,1093,Statistics from a Large Sample,,,Medium,,,,,,,
766,1339,Maximum Product of Splitted Binary Tree,,,Medium,,,,,,,
767,427,Construct Quad Tree,,,Medium,,,,,,,
